ia_fund_name,ia_management_company,ia_sector,isin,resolved_name,status,confidence,triage_reason
FI Institutional Global Developed Equity ESG Values Fund,Fisher Investments Institutional Funds plc,Global,IE000WZTDJZ1,FI Institutional Global Developed Equity ESG Values Fund 2 Class Shares USD Accumulation,matched,0.9514,
FI Institutional Global Responsible Equity ESG Fund,Fisher Investments Institutional Funds plc,Global,IE000Q5CGY93,FI Institutional Global Responsible Equity ESG Fund Euro Class Shares (unhedged),matched,0.9308,
FTF Templeton Global Leaders Fund,Franklin Templeton Fund Management Limited,Global,GB00B7K6LK38,FTF Templeton Global Leaders Fund W (acc),matched,0.9793,
FTF Franklin Global Unconstrained Fund,Franklin Templeton Fund Management Limited,Global,GB00BP9LKD12,FTF Franklin Global Unconstrained Fund Class W Accumulation,matched,1.0,
Templeton Global Climate Change Fund,Franklin Templeton International Services S.à r.l,Global,LU3272189567,Templeton Global Climate Change Fund I (acc) GBP,matched,0.9812,
Protea fund - Navera Global Equity Strategy,FundPartner Solutions (Europe) S.A,Global,LU2733028679,Protea Fund - Navera Global Equity Strategy E,matched,0.9838,
AQR Sustainable Style Premia Global Equity UCITS Fund,FundRock Management Company S.A.,Global,,,unresolved,,
Volare Falcon Fund,FundRock Partners Limited,Global,GB0002904703,Volare Falcon Fund Accumulation,matched,1.0,
FP WHEB Sustainability Impact Fund,FundRock Partners Limited,Global,GB00B4LDCG53,FP WHEB Sustainability Impact Fund A Acc,matched,0.98,
FP Russell International Growth Assets Fund,FundRock Partners Limited,Global,GB00B4KHXP47,FP Russell Investments ICVC - International Growth Assets Fund Class C Accumulation,matched,0.9067,
FP Carmignac Global Equity Compounders,FundRock Partners Limited,Global,GB00BNDQ7Q03,FP Carmignac Global Equity Compounders B Class Income GBP,matched,0.9846,
FP Mattioli Woods Responsible Equity Fund,FundRock Partners Limited,Global,GB00BMCH5X09,FP Mattioli Woods Funds ICVC - FP Mattioli Woods Responsible Equity Fund B GBP Inc,matched,0.8696,
FP Foresight Sustainable Future Themes,FundRock Partners Limited,Global,GB00BMYRR769,FP Foresight Sustainable Future Themes Fund A Class GBP Acc,matched,0.9846,
Fundsmith Equity Fund,Fundsmith Ltd,Global,LU0765126635,Fundsmith Equity Fund I CHF Inc,matched,1.0,
Fundsmith Stewardship Fund,Fundsmith,Global,GB00BF0V6P41,Fundsmith Stewardship Fund I Acc,matched,1.0,
GAM Disruptive Growth Fund,GAM,Global,KYG3730S1021,GAM Disruptive Growth (Cayman) Fund A JPY Acc,matched,0.9541,
GAM Star Global Equity,GAM,Global,IE00BKPHW101,GAM Star Fund plc - GAM Star European Equity Class R GBP Income,rejected,0.76,IA is global but candidate is region-specific {'europe'}
GAM Star Disruptive Growth,GAM,Global,IE00BD7V7160,GAM Star Fund plc - GAM Star Disruptive Growth Class Z GBP Accumulation,matched,0.9552,
GAM Star Composite Global Equity,GAM,Global,IE0005CAR7D0,GAM Star Fund plc - GAM Star Composite Global Equity Class Z GBP Income,matched,0.972,
